IRAS_Name,Source,z,M,das,dkpc,SFR,LIR,L2-10obs,L10-24obs,L2-10intr,L10-24intr,NH,NHdown,NHup,L10-24obs_flag,NH_flag,L2-10intr_flag,L10-24intr_flag
F00085-1223,NGC34,0.0196,D,0.0,0.0,44.2,11.49,41.41,41.63,42.05,41.82,23.72,23.62,23.81,,,,
F02069-1022,NGC833,0.0129,A,55.9,15.7,7.8,10.80,41.40,41.65,41.81,41.72,23.45,23.4,23.49,,,,
F02069-1022,NGC835,0.0129,A,55.9,15.7,1.7,10.02,41.64,41.86,42.06,41.97,23.63,23.52,23.76,,,,
F02401-0013,NGC1068,0.0038,N,0.0,0.0,17.3,11.40,41.19,41.39,43.11,42.95,24.99,,,,>,,
F03117+4151,Mrk1073,0.0233,N,0.0,0.0,19.2,11.41,41.39,42.11,43.44,43.28,24.51,24.34,24.56,,,,
F03164+4119,NGC1275,0.0176,N,-1.0,-1.0,15.1,11.25,44.58,43.50,43.22,43.06,21.68,21.62,21.78,,,,
F03316-3618,NGC1365,0.0055,N,-1.0,-1.0,17.9,10.99,41.71,41.79,42.00,41.84,23.30,23.28,23.32,,,,
F05054+1718,CGCG468-002W,0.0182,B,29.7,11.3,4.0,10.72,42.83,42.80,42.84,42.80,22.18,22.15,22.2,,,,
F05189-2524,IRA005189-2524,0.0426,D,0.0,0.0,86.1,12.16,43.10,43.30,43.57,43.02,23.10,23.08,23.14,,,,
F06076-2139,IRA0F06076-2139S,0.0375,C,7.8,6.2,51.8,11.59,41.36,41.90,42.34,42.18,23.79,23.66,23.93,,,,
F08354+2555,NGC2623,0.0185,D,0.0,0.0,52.8,11.60,40.90,40.87,41.04,40.87,22.85,22.63,23.08,,,,
F08520-6850,ESO060-IG16NE,0.0463,C,9.4,9.4,64.0,11.75,41.83,41.93,42.11,41.94,23.18,22.95,23.40,,,,
F09320+6134,UGC05101,0.0394,D,0.0,0.0,114.7,12.01,41.77,42.83,43.43,43.23,24.11,23.98,24.21,,,,
F11257+5850,Arp299W,0.0102,C,22.2,4.7,50.4,11.67,41.22,41.30,43.18,42.98,24.54,24.52,NC,,,,
F12540+5708,Mrk231,0.0422,D,0.0,0.0,259.7,12.57,42.58,42.67,42.66,42.71,23.16,23.08,23.25,,,,
F12590+2934,NGC4922N,0.0232,C,22.3,10.9,29.2,11.37,41.07,41.55,43.05,42.73,25.10,24.63,NC,,,,
13120-5453,IRA013120-5453,0.0308,D,0.0,0.0,299.4,12.32,41.61,41.47,43.10,42.94,24.50,24.27,24.74,,,,
F13197-1627,MCG-03-34-064,0.0213,A,106.4,37.8,2.7,11.17,42.25,42.94,43.41,43.20,23.73,23.72,23.74,,,,
F13229-2934,NGC5135,0.0137,N,-1.0,-1.0,22.5,11.30,41.20,42.06,43.35,43.19,24.80,24.51,25.00,,,,
F13362+4831,NGC52560S,0.0279,C,10.2,6.0,25.8,11.35,41.08,41.73,43.13,42.97,24.3,,,,>,,
F13362+4831,NGC5256N,0.0279,C,10.2,6.0,15.4,11.13,41.54,41.42,41.60,41.44,22.83,22.48,23.03,,,,
F13428+5608,Mrk273,0.0378,D,0.9,0.7,166.0,12.21,42.42,42.61,42.93,42.96,23.64,23.58,23.73,,,,
F14544-4255,IC4518A,0.0163,B,44.7,15.3,21.5,11.16,42.40,42.70,42.85,42.75,23.38,23.34,23.41,,,,
F14544-4255,IC4518B,0.0163,B,44.7,15.3,4.0,10.43,40.57,41.09,40.89,23.51,23.26,23.86,,,,,
F15327+2340,Arp220W,0.0181,D,1.0,0.4,254.1,12.27,40.81,40.89,42.92,42.72,24.72,,,,>,>,>
F16504+0228,NGC6240,0.0245,D,1.4,0.7,112.1,11.93,42.03,42.42,43.30,43.17,24.19,24.09,24.36,,,,
F16504+0228,NGC6240,0.0245,D,1.4,0.7,112.1,11.93,42.38,42.86,43.72,43.58,24.17,24.11,24.23,,,,
F16577+5900,NGC6286,0.0183,B,91.1,35.8,26.2,11.30,40.81,41.46,41.98,41.78,24.05,23.85,24.34,,,,
20264+2533,MCG+04-48-002,0.0139,A,91.4,27.1,12.6,11.00,41.48,42.14,42.36,42.38,23.86,23.79,23.92,,,,
20264+2533,NGC6921,0.0139,A,91.4,27.1,7.9,10.72,41.28,42.22,42.97,42.72,24.15,23.83,24.40,,,,
F21453-3511,NGC7130,0.0162,D,0.0,0.0,30.3,11.42,41.11,41.88,43.05,42.62,24.61,24.5,24.66,,,,
F23007+0836,NGC7469,0.0163,A,79.7,26.8,43.3,11.58,43.24,43.10,43.36,43.14,19.78,19.6,19.90,,,,
F23254+0830,NGC7674,0.0289,B,34.1,20.7,13.5,11.54,42.14,42.52,43.60,43.44,24.48,,,,>,,
23262+0314,NGC7679,0.0171,A,269.7,97.3,16.0,11.11,41.60,41.50,41.60,41.50,20.3,,,,<,,
23262+0314,NGC7682,0.0171,A,269.7,97.3,--,--,41.28,42.28,43.70,43.30,24.39,23.99,24.48,,,,
